source_competition	organized_competition	question	source_path	organized_path	file_count	bytes
XCTF-AdWorld	XCTF	050-re5-packed-movement	XCTF-AdWorld/050-re5-packed-movement	XCTF/050-re5-packed-movement	1	10307452
XCTF-AdWorld	XCTF	051-The_Maya_Society	XCTF-AdWorld/051-The_Maya_Society	XCTF/051-The_Maya_Society	2	28736
XCTF-AdWorld	XCTF	052-mfc逆向-200	XCTF-AdWorld/052-mfc逆向-200	XCTF/052-mfc逆向-200	1	1897472
XCTF-AdWorld	XCTF	053-2ex1	XCTF-AdWorld/053-2ex1	XCTF/053-2ex1	2	164536
XCTF-AdWorld	XCTF	054-asong	XCTF-AdWorld/054-asong	XCTF/054-asong	2	21328
XCTF-AdWorld	XCTF	055-76号	XCTF-AdWorld/055-76号	XCTF/055-76号	2	11056
XCTF-AdWorld	XCTF	056-first	XCTF-AdWorld/056-first	XCTF/056-first	1	10688
XCTF-AdWorld	XCTF	057-easyCpp	XCTF-AdWorld/057-easyCpp	XCTF/057-easyCpp	2	75616
XCTF-AdWorld	XCTF	060-reverse-box	XCTF-AdWorld/060-reverse-box	XCTF/060-reverse-box	2	11208
XCTF-AdWorld	XCTF	061-easy_go	XCTF-AdWorld/061-easy_go	XCTF/061-easy_go	2	3036480
XCTF-AdWorld	XCTF	063-2ex	XCTF-AdWorld/063-2ex	XCTF/063-2ex	2	164536
XCTF-AdWorld	XCTF	064-pseudorandom	XCTF-AdWorld/064-pseudorandom	XCTF/064-pseudorandom	1	10792
天翼初赛	天翼初赛	NicePy	天翼初赛/NicePy	天翼初赛/NicePy	1	20441058
天翼初赛	天翼初赛	ezgo	天翼初赛/ezgo	天翼初赛/ezgo	1	1231872
天翼初赛	天翼初赛	revvverse	天翼初赛/revvverse	天翼初赛/revvverse	1	804536
宁波	宁波	SleeperAgent	宁波/SleeperAgent	宁波/SleeperAgent	1	4459408
强网拟态	强网拟态	RE1-babyre	强网拟态/RE1-babyre	强网拟态/RE1-babyre	1	15672
强网杯	强网杯	chall	强网杯/chall	强网杯/chall	1	1088752
强网杯决赛	强网杯	easyaes	强网杯决赛/easyaes	强网杯/easyaes	1	220368
极客巅峰	极客巅峰	baby_maze	极客巅峰/baby_maze	极客巅峰/baby_maze	1	3035384
湖湘杯	湖湘杯	Hideit_813671af35dc5051d3f63bc716fcf290	湖湘杯/Hideit_813671af35dc5051d3f63bc716fcf290	湖湘杯/Hideit_813671af35dc5051d3f63bc716fcf290	1	58880
湖湘杯	湖湘杯	babyunt_5872438de9788d9af56d53980367413c	湖湘杯/babyunt_5872438de9788d9af56d53980367413c	湖湘杯/babyunt_5872438de9788d9af56d53980367413c	1	198656
湖湘杯	湖湘杯	shell_250f572b9d4a891213d31f8c20976131	湖湘杯/shell_250f572b9d4a891213d31f8c20976131	湖湘杯/shell_250f572b9d4a891213d31f8c20976131	1	59392
祥云杯	祥云杯	Dizzy_eff0e8b1e85ea6cf91d71dac530e9c9c	祥云杯/Dizzy_eff0e8b1e85ea6cf91d71dac530e9c9c	祥云杯/Dizzy_eff0e8b1e85ea6cf91d71dac530e9c9c	1	252416
祥云杯	祥云杯	InjectDll	祥云杯/InjectDll	祥云杯/InjectDll	1	15360
祥云杯	祥云杯	勒索解密_a6b0af561d5ad1ff25888265806a1be3	祥云杯/勒索解密_a6b0af561d5ad1ff25888265806a1be3	祥云杯/勒索解密_a6b0af561d5ad1ff25888265806a1be3	1	224768
祥云杯决赛	祥云杯	boa	祥云杯决赛/boa	祥云杯/boa	1	3053568
祥云杯决赛	祥云杯	ps	祥云杯决赛/ps	祥云杯/ps	1	55640
第五空间	第五空间	StangeLanguage	第五空间/StangeLanguage	第五空间/StangeLanguage	1	7409267
红帽杯	红帽杯	ezRev	红帽杯/ezRev	红帽杯/ezRev	1	30720
红帽杯	红帽杯	file_store	红帽杯/file_store	红帽杯/file_store	1	72336
红明谷杯	红明谷杯	g0	红明谷杯/g0	红明谷杯/g0	1	1893888
红明谷杯	红明谷杯	gogogo	红明谷杯/gogogo	红明谷杯/gogogo	1	2203648
绿城杯	绿城杯	babyvxworks	绿城杯/babyvxworks	绿城杯/babyvxworks	1	89284
绿城杯	绿城杯	easy_re	绿城杯/easy_re	绿城杯/easy_re	1	9728
绿城杯	绿城杯	抛石机	绿城杯/抛石机	绿城杯/抛石机	1	14424
羊城杯	羊城杯	BabySmc-e6f4a804-1fbf-482d-b140-151927ddcfdb	羊城杯/BabySmc-e6f4a804-1fbf-482d-b140-151927ddcfdb	羊城杯/BabySmc-e6f4a804-1fbf-482d-b140-151927ddcfdb	1	178688
